symbol,symbol_era_id,resolution_status,resolution_disposition,evidence_tier,research_route,instrument_type,historical_issuer_name,event_type,event_date,successor,primary_source_url,secondary_source_url,source_note,resolver
ORGOW,ORGOW#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root ORGO,warrant_unit_right_terminal_action,20190107,,local:parent-root-current-evidence,,Local terminal disposition: ORGOW linked to parent/root symbol ORGO with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
OSPRU,OSPRU#002,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_unit,Parent root OSPR,warrant_unit_right_terminal_action,20170829,,local:parent-root-current-evidence,,Local terminal disposition: OSPRU linked to parent/root symbol OSPR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
OSPRU,OSPRU#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_unit,Parent root OSPR,warrant_unit_right_terminal_action,20170727,,local:parent-root-current-evidence,,Local terminal disposition: OSPRU linked to parent/root symbol OSPR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
OSPRU,OSPRU#004,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_unit,Parent root OSPR,warrant_unit_right_terminal_action,20180823,,local:parent-root-current-evidence,,Local terminal disposition: OSPRU linked to parent/root symbol OSPR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
OSPRU,OSPRU#003,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_unit,Parent root OSPR,warrant_unit_right_terminal_action,20171011,,local:parent-root-current-evidence,,Local terminal disposition: OSPRU linked to parent/root symbol OSPR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
OSPRW,OSPRW#004,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root OSPR,warrant_unit_right_terminal_action,20180823,,local:parent-root-current-evidence,,Local terminal disposition: OSPRW linked to parent/root symbol OSPR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
OSPRW,OSPRW#003,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root OSPR,warrant_unit_right_terminal_action,20171011,,local:parent-root-current-evidence,,Local terminal disposition: OSPRW linked to parent/root symbol OSPR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
OSPRW,OSPRW#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root OSPR,warrant_unit_right_terminal_action,20170826,,local:parent-root-current-evidence,,Local terminal disposition: OSPRW linked to parent/root symbol OSPR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
OSPRW,OSPRW#002,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root OSPR,warrant_unit_right_terminal_action,20170925,,local:parent-root-current-evidence,,Local terminal disposition: OSPRW linked to parent/root symbol OSPR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
OTLKW,OTLKW#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root OTLK,warrant_unit_right_terminal_action,20220216,,local:parent-root-current-evidence,,Local terminal disposition: OTLKW linked to parent/root symbol OTLK with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
